Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S28703182,Canada Goose,Branta canadensis,303,2,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-04-02,02:20 PM,eBird - Traveling Count,46,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S26982851,Canada Goose,Branta canadensis,303,60,US-CA,San Bernardino,L4172278,US-CA-Victorville-Mojave Narrows Reg Park - 34.5111x-117.2733,34.5111,-117.273278,2016-01-18,11:54 AM,eBird - Traveling Count,105,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34"
S40704066,Canada Goose,Branta canadensis,303,5,US-FL,St. Johns,L6504328,Allison's apartment,30.247108,-81.397279,2017-11-24,03:16 PM,eBird - Stationary Count,2,1,,,3
S43585364,Canada Goose,Branta canadensis,303,1,US-FL,St. Johns,L6504328,Allison's apartment,30.247108,-81.397279,2018-03-12,09:02 AM,eBird - Casual Observation,,0,,,1
S60349050,Muscovy Duck,Cairina moschata,397,3,CR-P,,L1631258,Los Sueños Resort,9.6549138,-84.6566474,2019-10-03,01:31 PM,eBird - Stationary Count,90,1,,,1
S64417125,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,12,US-FL,Glades,L586086,Alvin L. Ward Senior Park,26.8393122,-81.0827279,2020-02-13,10:09 AM,eBird - Stationary Count,60,1,,,1
S54706319,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,2,US-FL,Hillsborough,L7670017,"1010 E 31st Ave, Tampa US-FL (27.9788,-82.4487)",27.978762,-82.448705,2019-04-08,07:52 AM,eBird - Stationary Count,6,1,,,1
S45155419,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,1,US-FL,Hillsborough,L7317356,"5002 Garrick Ct, Tampa US-FL (28.0724,-82.5315)",28.072427,-82.531531,2018-05-01,07:29 PM,eBird - Traveling Count,45,1,.805,,3
S48692484,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,18,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-09-23,11:30 AM,eBird - Traveling Count,23,1,.805,,1,FL Recently Fledged Young
S48785893,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,26,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-09-27,07:19 PM,eBird - Traveling Count,18,1,.805,,1
S49992839,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,30,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-11-17,10:40 AM,eBird - Traveling Count,15,1,.402,,1
S60536264,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,40,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2019-10-11,07:32 PM,eBird - Traveling Count,8,1,.322,,1
S40487442,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,4,US-FL,Hillsborough,L4979362,US-FL-Wimauma-5501-5541 State Road 674 - 27.7124x-82.3083,27.712376,-82.308264,2017-11-13,08:00 AM,eBird - Casual Observation,,0,,,1
S29956994,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,6,US-FL,Hillsborough,L3166002,Water Works Park,27.9583772,-82.4632394,2016-05-28,05:30 PM,eBird - Casual Observation,0,0,,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S45959448,Muscovy Duck (Established Feral),Cairina moschata (Established Feral),398,4,US-FL,Manatee,L7455362,Bayside Community Church,27.4733426,-82.3816895,2018-05-22,02:00 PM,eBird - Stationary Count,300,1,,,2
S52962745,Wood Duck,Aix sponsa,406,2,US-FL,Collier,L8407038,CRCA Station 7,26.391104,-81.271434,2019-02-20,06:43 AM,eBird - Stationary Count,276,1,,,1
S31973372,Wood Duck,Aix sponsa,406,4,US-FL,Hillsborough,L4979362,US-FL-Wimauma-5501-5541 State Road 674 - 27.7124x-82.3083,27.712376,-82.308264,2016-10-10,07:44 AM,eBird - Traveling Count,54,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.2.6 Build 75"
S43620684,Blue-winged Teal,Spatula discors,431,55,US-FL,Brevard,L123565,Merritt Island NWR (Please consider using more specific locations),28.6628762,-80.7234192,2018-03-13,11:39 AM,eBird - Traveling Count,268,1,12.875,,1
S54040815,Blue-winged Teal,Spatula discors,431,1,US-FL,Collier,L8566905,CRCA Station 8,26.30776,-81.287138,2019-03-20,08:10 AM,eBird - Stationary Count,169,1,,,2
S41903766,Blue-winged Teal,Spatula discors,431,2,US-FL,Hillsborough,L165195,Cypress Point Park,27.9500746,-82.5432364,2018-01-14,01:49 PM,eBird - Traveling Count,46,1,1.609,,1
S35221009,Blue-winged Teal,Spatula discors,431,5,US-FL,Hillsborough,L127340,E.G. Simmons Regional Park,27.7424,-82.4693,2017-03-16,03:53 PM,eBird - Traveling Count,149,1,4.828,,1
S33635295,Blue-winged Teal,Spatula discors,431,2,US-FL,Hillsborough,L4079330,Moody Pond,27.712589,-82.292589,2017-01-13,08:56 AM,eBird - Stationary Count,6,1,,,1
S35136105,Blue-winged Teal,Spatula discors,431,4,US-FL,Hillsborough,L165183,Picnic Island Beach,27.852068,-82.55248,2017-03-12,03:50 PM,eBird - Traveling Count,60,1,1.609,,1
S32980813,Blue-winged Teal,Spatula discors,431,4,US-FL,Hillsborough,L5141906,West tract,27.684057,-82.193682,2016-12-12,10:36 AM,eBird - Traveling Count,5,1,.322,,2,,,"West tract preserve.  <br />Submitted from eBird for iOS, version 1.2.6 Build 75"
S34913138,Blue-winged Teal,Spatula discors,431,75,US-FL,Hillsborough,L5141906,West tract,27.684057,-82.193682,2017-03-02,10:16 AM,eBird - Stationary Count,13,1,,,1
S35354073,Blue-winged Teal,Spatula discors,431,80,US-FL,Hillsborough,L5141906,West tract,27.684057,-82.193682,2017-03-22,02:54 PM,eBird - Traveling Count,400,1,9.656,,1
S41165029,Blue-winged Teal,Spatula discors,431,2,US-FL,Hillsborough,L620580,Wolf Branch Creek Preserve,27.7421125,-82.4375439,2017-12-17,08:48 AM,eBird - Traveling Count,400,1,8.047,,1
S40380574,Blue-winged Teal,Spatula discors,431,6,US-FL,Manatee,L6451602,Manson Jenkins (private access),27.553237,-82.069894,2017-11-08,10:25 AM,eBird - Traveling Count,324,1,1.609,,2
S40418749,Blue-winged Teal,Spatula discors,431,5,US-FL,Manatee,L6451602,Manson Jenkins (private access),27.553237,-82.069894,2017-11-09,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S60558630,Blue-winged Teal,Spatula discors,431,15,US-FL,Manatee,L4425488,Terra Ceia Preserve SP--Hightower Trail,27.5813861,-82.5726682,2019-10-12,09:01 AM,eBird - Traveling Count,126,1,5.343,,2
S42143172,Blue-winged Teal,Spatula discors,431,22,US-FL,Orange,L298649,Lake Apopka Wildlife Drive,28.6690476,-81.56128,2018-01-21,11:53 AM,eBird - Traveling Count,240,1,19.312,,3
S34153027,Blue-winged Teal,Spatula discors,431,3,US-FL,Pinellas,L127331,Boyd Hill Nature Park & Lake Maggiore,27.7248069,-82.6501069,2017-02-04,01:59 PM,eBird - Traveling Count,57,1,2.414,,1
S27275178,Cinnamon Teal,Spatula cyanoptera,432,2,US-CA,San Bernardino,L4164690,Beta,35.009353,-117.315866,2016-02-02,07:30 AM,eBird - Stationary Count,100,1,,,2,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S28703182,Cinnamon Teal,Spatula cyanoptera,432,1,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-04-02,02:20 PM,eBird - Traveling Count,46,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S43620684,Northern Shoveler,Spatula clypeata,443,12,US-FL,Brevard,L123565,Merritt Island NWR (Please consider using more specific locations),28.6628762,-80.7234192,2018-03-13,11:39 AM,eBird - Traveling Count,268,1,12.875,,1
S32365439,Northern Shoveler,Spatula clypeata,443,4,US-FL,Hillsborough,L1099519,The Kitchen Nature Preserve,27.8311566,-82.385919,2016-11-04,01:29 PM,eBird - Traveling Count,200,1,9.656,,7,,,"Didn't count most stuff. Boated all throughout the port bay.  <br />Submitted from eBird for iOS, version 1.2.6 Build 75"
S34913138,Northern Shoveler,Spatula clypeata,443,3,US-FL,Hillsborough,L5141906,West tract,27.684057,-82.193682,2017-03-02,10:16 AM,eBird - Stationary Count,13,1,,,1
S35354073,Northern Shoveler,Spatula clypeata,443,5,US-FL,Hillsborough,L5141906,West tract,27.684057,-82.193682,2017-03-22,02:54 PM,eBird - Traveling Count,400,1,9.656,,1
S41165029,Northern Shoveler,Spatula clypeata,443,3,US-FL,Hillsborough,L620580,Wolf Branch Creek Preserve,27.7421125,-82.4375439,2017-12-17,08:48 AM,eBird - Traveling Count,400,1,8.047,,1
S27275177,Northern Shoveler,Spatula clypeata,443,4,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-02-02,05:31 PM,eBird - Casual Observation,0,0,,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S28703182,Northern Shoveler,Spatula clypeata,443,2,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-04-02,02:20 PM,eBird - Traveling Count,46,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S26982851,Northern Shoveler,Spatula clypeata,443,4,US-CA,San Bernardino,L4172278,US-CA-Victorville-Mojave Narrows Reg Park - 34.5111x-117.2733,34.5111,-117.273278,2016-01-18,11:54 AM,eBird - Traveling Count,105,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34"
S41165029,Gadwall,Mareca strepera,447,3,US-FL,Hillsborough,L620580,Wolf Branch Creek Preserve,27.7421125,-82.4375439,2017-12-17,08:48 AM,eBird - Traveling Count,400,1,8.047,,1
S29540153,Gadwall,Mareca strepera,447,4,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-05-10,10:48 AM,eBird - Casual Observation,0,0,,,1,,2 pairs,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S27008814,Eurasian Wigeon,Mareca penelope,454,1,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-01-19,04:54 PM,eBird - Stationary Count,8,1,,,1,,Distinct head coloration mixed with American wigeon,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34"
S41165029,American Wigeon,Mareca americana,456,12,US-FL,Hillsborough,L620580,Wolf Branch Creek Preserve,27.7421125,-82.4375439,2017-12-17,08:48 AM,eBird - Traveling Count,400,1,8.047,,1
S27008814,American Wigeon,Mareca americana,456,150,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-01-19,04:54 PM,eBird - Stationary Count,8,1,,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34"
S27275177,American Wigeon,Mareca americana,456,300,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-02-02,05:31 PM,eBird - Casual Observation,0,0,,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S28703182,American Wigeon,Mareca americana,456,40,US-CA,San Bernardino,L853645,Helendale WTP,34.773098,-117.3301005,2016-04-02,02:20 PM,eBird - Traveling Count,46,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S26982851,American Wigeon,Mareca americana,456,2,US-CA,San Bernardino,L4172278,US-CA-Victorville-Mojave Narrows Reg Park - 34.5111x-117.2733,34.5111,-117.273278,2016-01-18,11:54 AM,eBird - Traveling Count,105,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34"
S45155419,Mallard,Anas platyrhynchos,483,2,US-FL,Hillsborough,L7317356,"5002 Garrick Ct, Tampa US-FL (28.0724,-82.5315)",28.072427,-82.531531,2018-05-01,07:29 PM,eBird - Traveling Count,45,1,.805,,3
S35221009,Mallard,Anas platyrhynchos,483,5,US-FL,Hillsborough,L127340,E.G. Simmons Regional Park,27.7424,-82.4693,2017-03-16,03:53 PM,eBird - Traveling Count,149,1,4.828,,1
S40464117,Mallard,Anas platyrhynchos,483,9,US-FL,Hillsborough,L6466784,Hyde Park Wetland,27.935722,-82.480683,2017-11-11,10:11 AM,eBird - Stationary Count,3,1,,,1
S44069151,Mallard,Anas platyrhynchos,483,7,US-FL,Hillsborough,L6466784,Hyde Park Wetland,27.935722,-82.480683,2018-03-29,05:51 PM,eBird - Stationary Count,4,1,,,1
S45013582,Mallard,Anas platyrhynchos,483,6,US-FL,Hillsborough,L6466784,Hyde Park Wetland,27.935722,-82.480683,2018-04-27,07:30 PM,eBird - Stationary Count,60,1,,,8
S35746231,Mallard,Anas platyrhynchos,483,4,US-FL,Hillsborough,L5661771,Pearce at Pavilion ,27.916665,-82.34996,2017-04-06,06:26 PM,eBird - Stationary Count,1,1,,,1
S48785893,Mallard,Anas platyrhynchos,483,5,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-09-27,07:19 PM,eBird - Traveling Count,18,1,.805,,1
S50142531,Mallard,Anas platyrhynchos,483,30,US-IN,Johnson,L8173926,"5612 Sunnyvale Dr, Bargersville US-IN (39.5558,-86.1650)",39.55583,-86.164992,2018-11-22,10:51 PM,eBird - Casual Observation,,0,,,1
S41316955,Mallard,Anas platyrhynchos,483,2,US-TN,Knox,L2077692,Concord Park--The Marina,35.8649174,-84.1296101,2017-12-25,10:39 PM,eBird - Traveling Count,20,1,.805,,1
S57724420,Mallard,Anas platyrhynchos,483,2,US-NY,Onondaga,L1068599,Onondaga Lake Park--Lake Outlet,43.1169458,-76.2445164,2019-06-26,06:34 PM,eBird - Traveling Count,320,1,1.609,,1
