Orange-fronted Parakeet,Eupsittula canicularis,RR,V
Brown-throated Parakeet,Eupsittula pertinax,RR,
Great Green Macaw,Ara ambiguus,LC,CR
Scarlet Macaw,Ara macao,LC,
Rufous-rumped Antwren,Euchrepomis callinota,LC,
Black-hooded Antshrike,Thamnophilus bridgesi,NE,
Streak-crowned Antvireo,Dysithamnus striaticeps,NE,
Spot-crowned Antvireo,Dysithamnus puncticeps,RR,
Dull-mantled Antbird,Sipia laemosticta,NE,
Black-crowned Antpitta,Pittasoma michleri,LC,
Ochre-breasted Antpitta,Grallaricula flavirostris,,NT
Silvery-fronted Tapaculo,Scytalopus argentifrons,NE,
Black-headed Antthrush,Formicarius nigricapillus,RR,
Gray-throated Leaftosser,Sclerurus albigularis,,NT
Tawny-winged Woodcreeper,Dendrocincla anabatina,RR,
Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,RR,
Buffy Tuftedcheek,Pseudocolaptes lawrencii,RR,
Ruddy Foliage-gleaner,Clibanornis rubiginosus,RR,
Streak-breasted Treehunter,Thripadectes rufobrunneus,NE,
Chiriqui Foliate-gleaner,Automolus exsertus,NE,
Ruddy Treerunner,Margarornis rubiginosus,NE,
Pale-breasted Spinetail,Synallaxis albescens,RR,
Lance-tailed Manakin,Chiroxiphia lanceolata,RR,
Blue-crowned Manakin,Lepidothrix coronata,RR,
Orange-collared Manakin,Manacus aurantiacus,NE,
Bare-necked Umbrellabird,Cephalopterus glabricollis,NE,EN
Lovely Cotinga,Cotinga amabilis,LC,
Turquoise Cotinga,Cotinga ridgwayi,NE,V
Three-wattled Bellbird,Procnias tricarunculatus,,V
Yellow-billed Cotinga,Carpodectes antoniae,NE,EN
Speckled Mourner,Laniocera rufescens,LC,
Barred Becard,Pachyramphus versicolor,RR,
Rose-throated Becard,Pachyramphus aglaiae,RR,
Sharpbill,Oxyruncus cristatus,LC,
Black-tailed Flycatcher,Myiobius atricaudus,RR,
Gray-headed Piprites,Piprites griseiceps,LC,
Stub-tailed Spadebill,Platyrinchus cancrominus,RR,
Sepia-capped Flycatcher,Leptopogon amaurocephalus,LC,
Rufous-browed Tyrannulet,Phylloscartes superciliaris,RR,
Northern Beardless-Tyrannulet,Camptostoma imberbe,RR,
Southern Beardless-Tyrannulet,Camptostoma obsoletum,RR,
Yellow-crowned Tyrannulet,Tyrannulus elatus,RR,
Lesser Elaenia,Elaenia chiriquensis,RR,
White-fronted Tyrannulet**,Phyllomyias zeledoni,NE,
Bran-colored Flycatcher,Myiophobus fasciatus,RR,
Tawny-chested Flycatcher,Aphanotriccus capitalis,NE,V
Olive-sided Flycatcher,Contopus cooperi,,NT
Dark Pewee,Contopus lugubris,NE,
Ochraceous Pewee,Contopus ochraceus,NE,
White-throated Flycatcher,Empidonax albigularis,LC,
Black-capped Flycatcher,Empidonax atriceps,NE,
Northern Scrub-Flycatcher,Sublegatus arenarum,LC,
Panama Flycatcher,Myiarchus panamensis,LC,
Nutting's Flycatcher,Myiarchus nuttingi,RR,
Brown-crested Flycatcher,Myiarchus tyrannulus,RR,
Golden-bellied Flycatcher,Myiodynastes hemichrysus,NE,
Fork-tailed Flycatcher,Tyrannus savana,LC,
Scrub Greenlet,Hylophilus flavipes,RR,
Mangrove Vireo,Vireo pallens,RR,
Yellow-winged Vireo,Vireo carmioli,NE,
Brown-capped Vireo,Vireo leucophrys,RR,
Silvery-throated Jay,Cyanolyca argentigula,NE,
White-throated Magpie-Jay,Calocitta formosa,RR,
Black-chested Jay,Cyanocorax affinis,RR,
White-lored Gnatcatcher,Polioptila albiloris,RR,
Rock Wren,Salpinctes obsoletus,RR,
Nightingale Wren,Microcerculus philomela,LC,
Scaly-breasted Wren,Microcerculus marginatus,RR,
Ochraceous Wren,Troglodytes ochraceus,NE,
Timberline Wren,Thryorchilus browni,NE,
Rufous-naped Wren,Campylorhynchus rufinucha,RR,
Black-bellied Wren,Pheugopedius fasciatoventris,RR,
Rufous-breasted Wren,Pheugopedius rutilus,RR,
Spot-breasted Wren,Pheugopedius maculipectus,RR,
Black-throated Wren,Pheugopedius atrogularis,NE,
Banded Wren,Thryophilus pleurostictus,RR,
Rufous-and-white Wren,Thryophilus rufalbus,RR,
Stripe-breasted Wren,Cantorchilus thoracicus,NE,
Isthmian Wren,Cantorchilus elutus,NE,
Riverside Wren,Cantorchilus semibadius,NE,
Black-faced Solitaire,Myadestes melanops,NE,
Black-billed Nightingale-Thrush,Catharus gracilirostris,NE,
Slaty-backed Nightingale-Thrush,Catharus fuscater,RR,
Sooty Thrush,Turdus nigrescens,NE,
Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,NE,
Long-tailed Silky-flycatcher,Ptiliogonys caudatus,NE,
Golden-browed Chlorophonia,Chlorophonia callophrys,NE,
Scrub Euphonia,Euphonia affinis,RR,
Yellow-crowned Euphonia,Euphonia luteicapilla,NE,
Thick-billed Euphonia,Euphonia laniirostris,RR,
Spot-crowned Euphonia,Euphonia imitans,NE,
Lesser Goldfinch,Spinus psaltria,LC,
Yellow-bellied Siskin,Spinus xanthogastrus,LC,
Rosy Thrush-Tanager,Rhodinocichla rosea,LC,
Ashy-throated Chlorospingus,Chlorospingus canigularis,LC,
Sooty-capped Chlorospingus,Chlorospingus pileatus,NE,
Stripe-headed Sparrow,Peucaea ruficauda,RR,
Botteri's Sparrow,Peucaea botterii,LC,
Grasshopper Sparrow,Ammodramus savannarum,RR,
Olive Sparrow,Arremonops rufivirgatus,RR,
Costa Rican Brushfinch,Arremon costaricensis,NE,
Sooty-faced Finch,Arremon crassirostris,LC,
Volcano Junco,Junco vulcani,NE,
Large-footed Finch,Pezopetes capitalis,NE,
Cabanis's Ground-Sparrow,Melozone cabanisi,E,NT
Rusty Sparrow,Aimophila rufescens,LC,
Yellow-thighed Brushfinch,Atlapetes tibialis,NE,
Eastern Meadowlark,Sturnella magna,,NT
Red-breasted Meadowlark,Leistes militaris,RR,
Crested Oropendola,Psarocolius decumanus,RR,
Yellow-tailed Oriole,Icterus mesomelas,LC,
